volume,volume weighted,open,close,high,low,time
14050.0,374.5458,374.45,374.6,374.6,374.45,2022-10-06 11:00:00
86807.0,375.0976,375.13,375.11,377.0,374.0596,2022-10-06 12:00:00
22642.0,376.2275,376.35,376.08,376.35,376.08,2022-10-06 13:00:00
376714.0,375.7698,376.24,375.605,376.26,375.57,2022-10-06 14:00:00
434862.0,376.254,376.43,376.13,376.56,376.04,2022-10-06 15:00:00
162769.0,374.5907,374.68,374.45,374.75,374.45,2022-10-06 16:00:00
106910.0,375.5778,375.47,375.57,375.75,375.47,2022-10-06 17:00:00
257152.0,375.2888,375.41,375.37,375.45,375.17,2022-10-06 18:00:00
166564.0,373.4212,373.4445,373.41,373.5899,373.22,2022-10-06 19:00:00
492910.0,373.1652,373.2,373.21,373.26,372.97,2022-10-06 20:00:00
479.0,372.6821,372.67,372.62,372.67,372.62,2022-10-06 21:00:00
21138.0,372.1803,372.57,372.02,372.57,371.81,2022-10-06 22:00:00
3394.0,372.1555,372.15,372.27,372.27,372.15,2022-10-06 23:00:00
4671.0,372.2324,372.2,372.2,372.28,372.18,2022-10-07 08:00:00
4860.0,373.0979,373.08,373.13,373.13,373.06,2022-10-07 11:00:00
26336.0,373.2673,373.11,373.2,373.5213,372.88,2022-10-07 12:00:00
68851.0,369.109,369.1,369.23,369.23,368.98,2022-10-07 13:00:00
457959.0,365.6692,365.54,365.5998,365.8988,365.3607,2022-10-07 14:00:00
99517.0,366.616,366.4507,366.59,366.79,366.39,2022-10-07 15:00:00
110152.0,365.1927,365.29,365.1179,365.35,365.04,2022-10-07 16:00:00
190049.0,363.6762,363.8101,363.68,363.8101,363.6,2022-10-07 17:00:00
156418.0,363.3197,363.43,363.43,363.4405,363.23,2022-10-07 18:00:00
141955.0,362.9662,362.77,363.0813,363.1,362.7524,2022-10-07 19:00:00
1302504.0,368.8864,362.81,362.78,362.98,362.65,2022-10-07 20:00:00
2106.0,362.7708,362.79,362.73,362.79,362.73,2022-10-07 21:00:00
1876.0,362.3417,362.35,362.33,362.35,362.33,2022-10-07 22:00:00
1030.0,362.25,362.25,362.25,362.25,362.25,2022-10-07 23:00:00
3303.0,361.5214,361.44,361.57,361.6,361.44,2022-10-10 08:00:00
660.0,360.8031,360.76,360.85,360.86,360.76,2022-10-10 09:00:00
420.0,362.5486,362.56,362.51,362.56,362.51,2022-10-10 10:00:00
13777.0,361.8597,361.68,362.02,362.02,361.68,2022-10-10 11:00:00
36194.0,362.2584,362.13,362.24,362.71,361.79,2022-10-10 12:00:00
35461.0,364.2008,364.2,364.26,364.3077,364.13,2022-10-10 13:00:00
198790.0,361.49,361.64,361.49,361.71,361.21,2022-10-10 14:00:00
111401.0,360.0351,360.2,359.84,360.21,359.81,2022-10-10 15:00:00
129990.0,360.7295,360.8,360.74,360.84,360.651,2022-10-10 16:00:00
208813.0,358.3029,358.35,358.24,358.4,358.23,2022-10-10 17:00:00
182269.0,361.5139,361.48,361.44,361.64,361.38,2022-10-10 18:00:00
115967.0,360.8627,360.555,360.9295,361.06,360.51,2022-10-10 19:00:00
385349.0,360.1898,360.08,360.23,360.35,360.02,2022-10-10 20:00:00
2336.0,360.5047,360.37,360.5,360.54,360.37,2022-10-10 21:00:00
18967.0,360.362,360.25,360.5,360.5,360.25,2022-10-10 22:00:00
1100.0,360.7121,360.7,360.68,360.73,360.68,2022-10-10 23:00:00
6464.0,357.5949,357.49,357.73,357.98,357.15,2022-10-11 08:00:00
1745.0,356.9378,356.97,356.89,357.0,356.88,2022-10-11 09:00:00
589.0,356.818,356.93,356.78,356.93,356.78,2022-10-11 10:00:00
16422.0,358.0055,357.79,358.05,358.1,357.75,2022-10-11 11:00:00
379540.0,358.682,358.85,358.719,358.85,356.83,2022-10-11 12:00:00
125260.0,359.0005,359.19,359.0,359.22,358.83,2022-10-11 13:00:00
334037.0,356.4037,356.59,356.4,356.6,356.25,2022-10-11 14:00:00
154100.0,357.586,357.53,357.58,357.7,357.45,2022-10-11 15:00:00
131872.0,360.5993,360.76,360.53,360.8,360.49,2022-10-11 16:00:00
44969.0,362.1525,362.16,362.12,362.22,362.0806,2022-10-11 17:00:00
160784.0,361.8969,361.88,361.59,362.04,361.59,2022-10-11 18:00:00
606161.0,357.1785,357.3,357.475,357.54,356.9,2022-10-11 19:00:00
401622.0,357.8117,357.7,357.73,358.02,357.62,2022-10-11 20:00:00
11821.0,358.5665,358.51,358.5,358.69,358.49,2022-10-11 21:00:00
23188.0,358.4186,358.41,358.42,358.47,358.35,2022-10-11 22:00:00
1504.0,358.1999,358.19,358.2,358.21,358.19,2022-10-11 23:00:00
7377.0,359.0949,359.22,358.86,359.22,358.82,2022-10-12 08:00:00
1017.0,359.5333,359.6,359.51,359.62,359.51,2022-10-12 09:00:00
489.0,360.5522,360.54,360.6,360.6,360.54,2022-10-12 10:00:00
1909.0,359.9717,360.0,359.99,360.06,359.98,2022-10-12 11:00:00
83569.0,360.1842,360.05,360.04,361.0204,359.6896,2022-10-12 12:00:00
15035.0,358.4951,358.58,358.31,358.61,358.31,2022-10-12 13:00:00
383752.0,358.959,358.82,358.79,359.31,358.57,2022-10-12 14:00:00
88601.0,357.9728,357.88,358.21,358.21,357.76,2022-10-12 15:00:00
131547.0,359.2927,359.22,359.07,359.46,359.07,2022-10-12 16:00:00
